scenario,torque_loss_pct,source_x,source_y,t1,t2,t3,t4,t5,t6
intact,0,0.177564,0.245612,60.404269,48.214908,53.323994,27.480216,11.843835,36.119101
intact,0,0.176808,0.127269,43.473681,27.140293,33.144452,40.935631,34.036974,50.896856
intact,0,0.117288,0.130729,35.408988,27.719308,43.792629,48.694633,34.928324,41.245163
intact,0,0.189502,0.245548,62.582484,49.553266,54.131054,24.795376,14.232107,40.241055
intact,0,0.138013,0.084438,30.739031,14.809704,37.536414,55.116040,42.158324,49.331763
intact,0,0.081532,0.213964,45.893346,45.861143,62.955961,47.476032,21.619264,22.813193
intact,0,0.232308,0.047372,47.429205,18.694125,15.509288,54.356682,54.924736,69.776475
intact,0,0.037305,0.174553,34.778085,42.409205,63.719629,58.664712,34.976276,26.810701
intact,0,0.058005,0.234413,49.036554,51.000536,67.723539,48.361480,22.679875,16.955268
intact,0,0.100687,0.057407,21.900672,16.817602,43.212098,64.153225,49.766133,53.882285
intact,0,0.259452,0.063038,53.412176,25.464335,13.897105,48.478167,52.264096,68.972914
intact,0,0.094027,0.059939,22.250247,16.322336,44.700954,64.156789,49.311346,51.812406
intact,0,0.050027,0.025498,11.274377,20.431708,49.171514,74.101860,57.681840,54.554281
intact,0,0.190961,0.141966,48.101374,29.942748,34.014936,38.277381,33.646850,50.633713
intact,0,0.034403,0.065407,15.806365,26.602617,53.861414,69.789666,52.650126,47.799753
intact,0,0.033879,0.173697,36.681450,42.887442,63.425937,57.670164,33.994952,26.370744
intact,0,0.196986,0.122344,46.175252,25.633323,32.240360,40.568473,36.124809,53.364287
intact,0,0.102678,0.151177,36.147775,31.926171,49.988605,48.291102,30.751908,37.599107
intact,0,0.247501,0.241294,67.969617,49.933092,47.526015,15.780279,22.793051,50.756058
intact,0,0.031304,0.067190,16.038967,24.605945,55.789883,72.666569,51.136756,46.601296
intact,0,0.081554,0.084841,22.783426,20.907357,46.542387,62.750334,46.994178,45.683402
intact,0,0.168520,0.128228,44.256747,25.947340,38.484790,43.169805,34.684523,48.492264
intact,0,0.032806,0.117140,27.508212,33.991063,57.641446,65.724073,43.076545,36.666211
intact,0,0.156176,0.046435,33.495133,9.399802,30.505445,58.316909,51.064683,59.985434
intact,0,0.236699,0.033510,45.874935,19.256550,13.342664,53.338669,55.989293,71.370276
intact,0,0.260459,0.045769,52.196444,24.744212,10.754666,51.050491,54.853147,72.746825
intact,0,0.239329,0.254690,70.177507,52.972348,53.087558,15.207538,18.140797,46.757573
intact,0,0.274688,0.228527,71.451845,51.845013,45.881423,15.136590,28.969686,57.714588
intact,0,0.222664,0.187046,57.049158,38.960886,39.387243,27.667388,28.106641,49.503824
loose_25,25,0.180599,0.125482,43.966610,23.767144,34.168016,42.839056,36.355557,50.017056
loose_25,25,0.029058,0.189587,40.657850,46.486902,65.752090,59.640349,35.653101,25.775263
loose_25,25,0.149846,0.085760,32.688314,15.762163,36.811147,50.736616,40.864264,51.559430
loose_25,25,0.192974,0.147786,49.242929,30.627865,35.518164,36.203572,30.564288,47.836805
loose_25,25,0.110169,0.142034,39.372945,29.949019,48.747295,48.658284,32.303046,37.447343
loose_25,25,0.117185,0.098296,26.612908,18.658629,38.797054,51.070116,39.078222,48.642386
loose_25,25,0.133414,0.198464,47.761063,41.767068,52.438882,40.192044,19.224969,34.317241
loose_25,25,0.234013,0.063680,49.597629,20.219025,19.179912,49.921192,49.337505,64.831761
loose_25,25,0.185411,0.137885,44.436096,28.601645,36.347467,38.516109,33.227319,50.113633
loose_25,25,0.058185,0.243808,51.058278,54.432537,70.593609,48.149735,24.054509,15.381244
loose_25,25,0.101755,0.203807,47.126563,41.989799,56.245939,41.358570,21.265463,25.666060
loose_25,25,0.144647,0.075980,34.128614,17.508805,33.392151,54.976180,43.728748,52.389397
loose_25,25,0.123121,0.168730,42.936629,34.113639,51.499495,43.330266,28.297780,36.140950
loose_25,25,0.234012,0.160125,57.904080,35.494470,34.563407,30.758560,31.379111,55.519027
loose_25,25,0.232992,0.044117,48.401750,19.688140,18.350820,55.076343,53.238695,69.772751
loose_25,25,0.143585,0.147375,40.216013,29.537920,42.081787,46.138282,31.097524,41.582882
loose_25,25,0.122565,0.211827,50.736545,39.463394,52.243280,40.820781,18.559143,30.572782
loose_25,25,0.141247,0.104452,33.144938,20.928792,41.012017,51.611523,39.403305,47.586474
loose_25,25,0.086938,0.215606,45.902816,41.733975,61.010338,47.101860,18.707220,23.240546
loose_25,25,0.078670,0.145992,31.431558,31.049093,53.108759,50.801363,34.866401,35.718351
loose_25,25,0.211147,0.109606,47.203456,21.380671,26.724644,43.870659,35.827508,56.341090
loose_25,25,0.151086,0.215069,50.796853,44.221236,51.305583,34.892078,17.835749,37.418649
loose_25,25,0.123989,0.164449,40.886223,33.862633,45.948350,46.217096,26.464127,35.899908
loose_25,25,0.107581,0.093818,28.515214,18.248183,43.157652,57.855439,42.539383,44.128790
loose_25,25,0.135080,0.172757,43.673832,35.793089,44.950698,40.048153,26.937754,37.519685
loose_25,25,0.108127,0.177259,42.144875,39.216733,52.946865,46.541493,30.003542,32.394317
loose_25,25,0.140817,0.115655,35.247903,23.845523,40.010960,47.922288,35.366098,49.859756
loose_25,25,0.076989,0.074179,21.872319,19.717956,48.378698,63.311982,47.086821,48.560336
loose_25,25,0.215388,0.050917,42.326985,17.103679,22.619638,53.311718,50.940258,65.098075
loose_25,25,0.075660,0.179406,38.326000,38.458688,56.884076,52.314107,25.733402,29.765712
loose_25,25,0.174699,0.174951,48.878427,35.902547,41.348156,37.397834,27.361473,44.407771
loose_25,25,0.176320,0.167106,46.313139,35.076891,42.186648,33.900505,27.058632,44.705445
loose_25,25,0.124224,0.104817,33.341456,21.853800,41.367865,54.743705,41.214627,41.971716
loose_25,25,0.114772,0.097800,29.681714,20.543157,39.264120,54.984442,42.922383,44.870774
loose_25,25,0.042355,0.065836,16.161328,23.862512,52.176747,71.847586,50.730417,48.286123
loose_25,25,0.065590,0.234008,45.798438,52.546775,67.148296,48.430645,22.292252,16.493878
loose_25,25,0.123612,0.277501,62.531236,55.264591,65.456994,34.825998,6.064573,26.170526
loose_25,25,0.109797,0.084013,28.034188,19.605069,41.573139,58.329374,43.311042,51.803057
loose_25,25,0.228619,0.159815,53.436032,37.512557,37.058145,30.184240,35.489112,55.128490
loose_25,25,0.140233,0.168717,45.334089,33.841834,46.145965,41.043250,26.915047,40.520882
loose_25,25,0.159572,0.178135,48.102967,34.311196,46.602782,38.568425,25.430082,41.275040
loose_25,25,0.162518,0.079971,35.819205,14.795501,30.507654,49.436727,44.432340,54.583010
loose_25,25,0.176655,0.118038,41.832380,19.768648,32.274011,45.646735,35.783806,51.262515
loose_25,25,0.151570,0.225237,52.211270,47.206505,53.733273,33.674287,18.444611,36.075758
loose_25,25,0.055675,0.189920,39.122692,41.520999,61.403356,54.360470,28.835092,24.078758
loose_25,25,0.117839,0.093327,32.264750,19.571364,44.384747,55.234619,44.509959,48.117321
loose_25,25,0.136670,0.122159,38.105785,23.489863,39.511297,48.982132,37.150864,44.918436
loose_25,25,0.168393,0.169430,45.845945,32.044644,40.767069,34.426361,26.536092,44.304318
loose_25,25,0.138512,0.222085,52.327652,41.085718,54.631980,35.616161,18.895512,29.598802
loose_25,25,0.171633,0.175704,48.538220,37.964939,44.195098,36.581559,25.404758,42.877609
loose_25,25,0.139116,0.200911,50.041100,39.026845,52.794785,35.730636,20.429591,34.427683
loose_25,25,0.122924,0.097077,30.402338,20.122384,39.454243,52.256644,40.413903,45.794242
loose_25,25,0.197861,0.119764,46.741082,24.069546,32.548610,39.660773,36.447033,52.592164
loose_25,25,0.247522,0.273655,75.785843,58.597933,55.410647,12.492044,17.042761,49.719294
loose_25,25,0.169477,0.213341,57.489119,43.044197,50.122202,32.156597,19.107510,35.073233
loose_25,25,0.087615,0.133111,29.347954,29.716354,49.057905,55.990132,35.160954,34.796170
loose_25,25,0.126041,0.074007,27.330270,11.433147,37.458265,56.755995,44.815310,53.371297
loose_25,25,0.226503,0.126687,53.702815,29.343249,26.090432,38.576571,38.722527,57.504907
loose_25,25,0.105716,0.113336,32.469571,22.588937,47.998280,52.445842,39.492801,40.373102
loose_25,25,0.149208,0.174671,44.549324,37.209067,45.759740,40.474990,25.421779,38.814589
loose_25,25,0.246943,0.069998,53.380268,23.559655,14.895628,46.003550,50.746262,68.086033
loose_25,25,0.077407,0.190579,38.789344,39.700794,57.733859,49.058387,24.198336,25.864028
loose_25,25,0.095162,0.211029,45.205593,44.764766,60.032644,44.446545,20.314722,26.264964
loose_25,25,0.101884,0.101594,27.551438,20.762229,43.118851,55.124338,39.086076,44.850350
loose_25,25,0.116117,0.221432,51.100736,42.421297,57.603414,39.663042,17.624766,28.020559
loose_25,25,0.167269,0.163236,44.563638,30.935863,42.121922,39.659696,24.248664,43.731253
loose_25,25,0.194630,0.143255,50.117764,29.779726,36.392158,36.719359,32.415845,47.548446
loose_25,25,0.106111,0.182024,38.622409,38.862162,51.711025,44.708889,23.095429,29.620208
loose_25,25,0.129421,0.102093,32.707624,19.734874,40.326236,52.933680,40.276105,47.651511
loose_25,25,0.235422,0.204739,64.765843,42.767434,42.853901,24.716456,27.487200,48.660410
loose_25,25,0.167948,0.152638,44.920828,32.775117,41.128531,39.867287,29.363639,44.110755
loose_25,25,0.026910,0.032859,8.926794,25.101496,54.948046,76.522647,57.809828,54.496713
loose_25,25,0.176405,0.146410,50.220975,27.088918,38.806533,38.288426,32.034768,46.849618
loose_25,25,0.096919,0.188534,43.540178,40.936104,55.709605,48.030143,21.175408,31.927431
loose_25,25,0.087648,0.128851,31.729657,30.245592,47.847481,53.301252,36.649605,38.431846
loose_25,25,0.183648,0.116397,43.910234,25.859400,30.267825,44.933810,37.344563,51.631487
loose_25,25,0.095365,0.104670,26.113178,24.368856,42.348989,57.551453,38.327185,43.553474
loose_25,25,0.081504,0.175175,38.462805,39.372490,55.741707,49.286473,27.716714,31.724758
loose_25,25,0.217057,0.234919,64.773355,48.281980,49.471638,18.734900,19.271892,42.680975
loose_25,25,0.216703,0.121600,50.825554,27.931673,33.059203,37.727365,37.938427,58.835404
loose_25,25,0.181389,0.108995,44.110649,21.640744,32.553028,44.970197,39.136251,51.633978
loose_25,25,0.130115,0.190774,46.050271,35.964363,51.292951,41.068672,21.863176,31.554123
loose_25,25,0.083467,0.130875,32.527870,29.909965,49.513308,54.529984,34.097311,36.181910
loose_25,25,0.078530,0.154576,33.869285,35.902353,53.056522,53.949812,31.600036,33.426531
loose_25,25,0.112186,0.108598,31.015555,24.308277,42.588031,51.272894,36.947379,43.573460
loose_25,25,0.111880,0.215286,46.650775,44.342315,56.480773,44.824701,15.972491,28.372250
loose_25,25,0.165918,0.120196,39.284101,23.509002,36.226058,41.370582,36.456673,51.786247
loose_25,25,0.151105,0.180328,46.373379,36.456014,48.308323,37.959383,23.063955,35.137146
loose_25,25,0.090381,0.155699,36.967525,33.174826,50.704408,51.087005,30.350905,33.261194
loose_25,25,0.213996,0.110878,49.112473,23.596689,29.635610,39.455252,38.937200,60.002362
loose_25,25,0.172016,0.138585,45.870432,28.211053,36.317569,40.405380,32.691753,47.234365
loose_25,25,0.167345,0.123890,41.506497,24.973448,35.980604,41.933313,34.617604,49.959566
loose_25,25,0.207904,0.142020,48.303807,30.389873,32.623819,36.739807,33.068487,54.439361
loose_25,25,0.101835,0.166665,39.822635,32.729275,52.793536,46.607343,27.488108,34.025841
loose_25,25,0.149346,0.129223,38.760608,27.184182,38.534676,44.617813,33.171127,44.525125
loose_25,25,0.151692,0.131694,41.825277,27.284203,42.232877,48.266675,32.116790,45.421080
loose_25,25,0.150144,0.148184,40.426505,28.470329,41.204709,41.078087,28.785458,42.487873
loose_25,25,0.195930,0.037181,38.060164,13.081696,20.725895,60.749187,52.683422,65.670960
loose_25,25,0.097548,0.156423,34.926372,35.555668,52.847509,50.084499,28.551402,35.032041
loose_25,25,0.082209,0.169026,35.909422,38.616279,56.350956,50.971117,25.841046,29.452219
loose_50,50,0.120137,0.162002,41.111487,30.639042,48.729974,47.385386,29.792524,36.402387
loose_50,50,0.127684,0.121598,34.328328,23.466969,43.115574,49.996718,37.217355,44.141172
loose_50,50,0.082001,0.214249,47.518578,45.145335,62.700713,48.593202,20.278925,20.113417
loose_50,50,0.129670,0.133095,40.250705,27.440983,39.803612,46.267070,35.171536,41.712043
loose_50,50,0.151492,0.141175,40.390870,31.038301,38.885939,41.891704,32.189212,44.678589
loose_50,50,0.164546,0.113608,40.983813,24.729581,35.755052,47.061162,36.873315,49.851612
loose_50,50,0.142716,0.120314,37.547869,24.537108,41.149984,48.870166,36.055091,44.275050
loose_50,50,0.182224,0.174289,50.566368,35.392518,42.456680,38.865607,24.907551,45.120479
loose_50,50,0.133720,0.152576,42.713059,30.884438,49.810348,43.688389,30.312187,38.209374
loose_50,50,0.145327,0.146450,40.560680,29.802689,44.293660,44.227868,33.242535,42.093705
loose_50,50,0.150694,0.174905,45.509426,40.389225,46.781519,37.517968,23.630878,37.284767
loose_50,50,0.182584,0.158925,50.285584,31.717489,39.773741,36.581900,30.420725,44.453633
loose_50,50,0.155184,0.180956,45.525876,36.654733,47.555673,38.157945,22.212373,40.472022
loose_50,50,0.106787,0.162586,37.416036,32.602988,48.615687,50.021281,30.076613,36.015841
loose_50,50,0.053995,0.229805,49.707166,55.435914,63.910233,49.687882,22.553475,16.010254
loose_50,50,0.123651,0.165822,39.214762,32.981241,45.979966,44.988213,27.451420,37.454963
loose_50,50,0.166192,0.182618,50.399257,37.872894,44.531880,39.841844,24.167557,36.968123
loose_50,50,0.167362,0.115614,38.677722,19.901146,35.225385,45.183688,36.103371,53.824630
loose_50,50,0.156597,0.146674,44.009967,30.816747,39.163623,39.988927,30.767087,44.178109
loose_50,50,0.160800,0.184223,45.193261,36.547189,46.208077,35.780765,21.629203,38.549713
loose_50,50,0.176533,0.137427,44.390100,28.174664,38.158386,42.990097,32.356025,47.085107
loose_50,50,0.182249,0.153634,48.548440,32.618192,37.845337,39.151106,31.934422,49.332731
loose_50,50,0.263596,0.177698,67.136355,40.448078,36.305592,25.543491,33.187515,56.818766
loose_50,50,0.164107,0.142808,40.537559,28.885995,37.889771,41.729802,29.976624,43.249666
loose_50,50,0.192236,0.136840,47.661800,28.943891,35.994399,43.478832,34.262103,51.398615
loose_50,50,0.198400,0.153672,48.035522,29.648924,40.010048,33.781401,28.737036,49.226688
loose_50,50,0.204693,0.205533,57.834441,40.732022,44.700964,29.297123,20.219616,42.300786
loose_50,50,0.150610,0.142564,43.361759,29.497571,40.058765,40.242437,29.998273,43.465585
loose_50,50,0.188096,0.142783,49.561499,27.482371,36.112799,39.945458,27.590902,51.097183
loose_50,50,0.186281,0.125643,42.573649,26.819247,34.386161,43.802039,36.720263,46.275286
loose_50,50,0.176233,0.145117,44.088755,29.770215,37.755649,40.607206,32.996514,48.141035
loose_50,50,0.107828,0.136202,34.315022,24.823734,46.198010,51.334175,31.646987,40.483155
loose_50,50,0.278130,0.108800,61.547437,33.872029,16.067685,35.933174,49.804877,66.409160
loose_50,50,0.062343,0.154983,29.442186,38.081550,56.772062,57.891397,34.444088,32.486979
loose_50,50,0.185062,0.168750,50.815688,35.865729,45.389779,36.834648,24.009861,46.269313
loose_50,50,0.178278,0.110971,44.281713,25.308776,32.089680,47.295847,40.082020,57.112318
loose_50,50,0.158645,0.066257,32.885018,12.348968,30.610364,53.651753,45.000471,50.973815
loose_50,50,0.179408,0.023672,35.323294,8.289189,23.592170,64.169767,55.604367,68.474187
loose_50,50,0.112612,0.117524,33.076483,26.318428,44.796988,55.048767,37.365180,43.877619
loose_50,50,0.142271,0.143208,41.105751,28.106811,43.418494,48.948917,30.855589,43.182553
loose_50,50,0.121055,0.166569,43.697923,36.093598,48.917841,39.876255,28.340225,31.593320
loose_50,50,0.116725,0.133869,38.461969,27.927428,47.391300,47.668784,30.781166,41.128999
loose_50,50,0.160907,0.165745,46.133377,32.237577,43.444377,44.198222,28.608547,44.011027
loose_50,50,0.261194,0.088789,56.862410,31.417736,18.999706,38.839693,47.361287,68.804465
loose_50,50,0.030286,0.048145,9.436071,25.453819,53.411991,76.808352,57.270785,52.036989
loose_50,50,0.082465,0.091216,25.836468,22.624664,47.572175,57.933037,39.514215,45.196200
loose_50,50,0.148138,0.121065,38.910978,26.634354,41.985371,50.078256,33.792932,45.755150
loose_50,50,0.194272,0.172564,52.929809,40.694263,43.435708,35.355828,26.205904,44.701467
loose_50,50,0.149193,0.143681,43.003833,26.535410,41.182275,43.211567,34.449962,42.508212
loose_50,50,0.169595,0.122663,36.982487,25.852512,34.407948,44.109794,35.509864,48.528376
loose_50,50,0.104787,0.157900,39.481996,29.783424,49.181747,49.659082,28.595714,32.093954
loose_50,50,0.121598,0.148243,39.684070,32.434135,46.301117,42.921569,32.290220,35.572967
loose_50,50,0.136804,0.182021,46.157451,34.724848,46.573973,39.391254,23.376321,34.841495
loose_50,50,0.198540,0.140569,49.830462,28.850669,36.632408,38.357707,31.936170,49.194143
loose_50,50,0.146353,0.115738,34.022338,23.740523,37.762901,43.238858,35.788215,45.260387
loose_50,50,0.137700,0.163267,45.867698,29.340301,43.159632,44.664000,30.170639,37.320957
loose_50,50,0.155175,0.160126,43.331508,33.274297,38.526614,36.546331,27.432562,44.882094
loose_50,50,0.159236,0.197731,49.903960,39.791172,50.811186,39.012333,19.383361,37.816049
loose_50,50,0.124881,0.155794,43.577525,28.516718,48.932988,43.333891,29.480494,37.667498
loose_50,50,0.028531,0.092632,17.469259,28.585751,57.920544,70.312969,47.805566,42.004473
loose_50,50,0.183212,0.137466,46.952307,26.341083,37.555044,41.666932,38.385710,48.231050
loose_50,50,0.148502,0.135016,39.224781,28.542848,42.224359,43.727648,32.191778,45.477135
loose_50,50,0.157051,0.181771,46.388887,35.560562,46.428669,39.093087,22.478521,35.630830
loose_50,50,0.180635,0.112760,38.754972,20.850732,30.214500,44.101015,35.568055,50.628139
loose_50,50,0.124441,0.174551,41.325449,34.401509,52.158297,44.478678,25.637455,34.417965
loose_50,50,0.179392,0.110453,41.267234,23.514821,33.876887,43.117809,38.435419,48.132334
loose_50,50,0.151326,0.175403,46.755238,36.605973,45.426938,42.429065,23.158263,39.638911
loose_50,50,0.123907,0.125907,35.258389,25.515811,43.066338,49.738925,36.903523,45.492500
loose_50,50,0.191522,0.129390,46.221999,28.808379,32.365840,41.967253,33.594050,53.479814
loose_50,50,0.148340,0.183435,51.603107,36.444265,43.216988,37.159910,25.779182,38.838009
loose_50,50,0.140723,0.125248,38.175416,27.135597,41.493631,49.724950,36.838426,47.917048
loose_50,50,0.196099,0.146317,49.651673,32.492032,35.276777,35.898975,35.503095,50.261406
loose_50,50,0.168256,0.175327,50.209979,35.502412,42.688561,36.298635,28.072537,42.992918
loose_50,50,0.180949,0.169208,46.124608,33.972535,44.943035,34.944493,23.279828,48.439975
loose_50,50,0.127346,0.106090,34.514174,21.556249,39.785854,54.091801,37.961866,48.694042
loose_50,50,0.138461,0.168250,44.663914,34.218367,46.939893,41.340852,28.542197,36.494701
loose_50,50,0.174745,0.161881,44.397119,33.981253,42.198693,38.251475,28.878996,43.906717
loose_50,50,0.141293,0.151362,42.987063,30.231330,42.888510,42.864746,33.819848,37.545584
loose_50,50,0.150741,0.118710,39.374111,20.384305,37.925507,46.098292,32.088184,47.932687
loose_50,50,0.145103,0.171828,44.219886,30.181221,47.947068,43.079958,28.633269,39.438904
loose_50,50,0.070165,0.118441,27.624992,31.223445,55.076495,60.846214,37.784121,39.331659
loose_50,50,0.129001,0.185484,46.065537,33.714556,51.394678,45.706484,24.564956,37.446151
loose_50,50,0.162045,0.132443,42.222586,26.451561,39.010666,41.776598,31.670229,49.151761
loose_50,50,0.120144,0.108142,35.073732,20.455344,43.908853,52.421824,39.513052,46.194701
loose_50,50,0.109253,0.144834,38.272560,30.256728,50.720776,49.796505,33.333828,36.287516
loose_50,50,0.164122,0.128570,46.014387,26.808222,38.838833,40.533480,32.756806,49.941277
loose_50,50,0.121875,0.159849,40.775874,28.633383,49.943241,44.242726,31.411632,36.970341
loose_50,50,0.178252,0.141401,45.914618,31.197012,35.523428,38.002411,31.826225,49.373399
loose_50,50,0.125290,0.115630,31.436858,20.312093,43.549181,49.593994,36.419241,40.868826
loose_50,50,0.175489,0.172729,47.888979,34.904691,44.446287,34.067102,29.274483,41.987252
loose_50,50,0.105260,0.043330,21.399767,15.531278,40.323339,63.332899,51.797725,58.189165
loose_50,50,0.172556,0.130138,46.158007,24.782065,36.344799,42.651565,32.298107,48.315267
loose_50,50,0.103936,0.153112,37.021950,34.258572,52.167920,48.338397,30.360440,37.316868
loose_50,50,0.173802,0.179383,48.783714,37.368254,43.689458,32.975081,22.675013,45.205205
loose_50,50,0.163272,0.168932,46.674757,37.171268,42.438869,38.462902,31.132956,39.759570
loose_50,50,0.131856,0.106170,30.061843,24.115106,38.117989,51.278075,37.763542,47.421692
loose_50,50,0.177981,0.158584,45.775365,31.846771,40.918301,35.339605,27.431441,44.769903
loose_50,50,0.147750,0.159612,40.642280,31.080411,44.353770,40.620144,27.538490,40.722419
loose_50,50,0.172450,0.177064,48.121674,37.078510,46.516272,34.501208,25.964159,41.877509
loose_50,50,0.133590,0.156369,41.863728,34.577085,46.687208,40.417750,29.821077,41.696441
